,Location,Address_1,Address_2,Postal Code,City,Province,Phone,Fax,URL,Features,Services,Description,Name,Job Title,Week_Day,Open,Close,Bio
0,CBI Health Centre - Abbotsford,34194 Marshall Road ,Suite 100,V2S 5E4,Abbotsford,BC,604.852.5655,604.852.5828,https://www.cbi.ca/web/physiotherapy-abbotsford-marshall," Free Parking ,  Wheelchair Accessible ",Acupuncture/IMS;Cognitive Rehabilitation;Custom Orthotics/Bracing & Splinting;Hand Therapy;Health and Safety Consulting;Kinesiology;MVA Rehabilitation;Mental Health;Occupational Therapy;Pain Management Rehabilitation;Physiotherapy;Pre/Post-Surgical Rehabilitation;Psychology;Return to Work Planning;Vestibular Rehabilitation,"Better health begins here Our CBI Health Center Services focus on the individual: that means we design our treatment plans around your unique needs and goals, adhere to best practices and consistently deliver the highest standards of quality care for the best possible outcomes. Let us help you regain independence Let us help you regain strength, function and movement so you can enjoy an overall better quality of life.",Angele Bonville,Occupational Therapist - Certified Hand Therapist,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday']","['7:00am', '7:00am', '7:00am', '7:00am', '7:00am']","['6:00pm', '6:00pm', '6:00pm', '6:00pm', '4:00pm']",Angele graduated from the University of Alberta with a Bachelor's degree in Rehabilitation Medicine in 1993. Since that time she has worked in a variety of locations in both in-patient and out-patient rehabilitation throughout north America. She attained her CHT certification while living in San Francisco in December of 2003 and has been working as a Certified Hand therapist ever since. She joined the CBI team as a part of Fraser Ridge Hand Therapy in 2011. Angele has been active in local hand therapy associations as well as mentor-ship programs for new therapists joining the CBI hand team.
1,CBI Health Centre - Abbotsford,34194 Marshall Road ,Suite 100,V2S 5E4,Abbotsford,BC,604.852.5655,604.852.5828,https://www.cbi.ca/web/physiotherapy-abbotsford-marshall," Free Parking ,  Wheelchair Accessible ",Acupuncture/IMS;Cognitive Rehabilitation;Custom Orthotics/Bracing & Splinting;Hand Therapy;Health and Safety Consulting;Kinesiology;MVA Rehabilitation;Mental Health;Occupational Therapy;Pain Management Rehabilitation;Physiotherapy;Pre/Post-Surgical Rehabilitation;Psychology;Return to Work Planning;Vestibular Rehabilitation,"Better health begins here Our CBI Health Center Services focus on the individual: that means we design our treatment plans around your unique needs and goals, adhere to best practices and consistently deliver the highest standards of quality care for the best possible outcomes. Let us help you regain independence Let us help you regain strength, function and movement so you can enjoy an overall better quality of life.",Brandy Deol,Clinic Administrator,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday']","['7:00am', '7:00am', '7:00am', '7:00am', '7:00am']","['6:00pm', '6:00pm', '6:00pm', '6:00pm', '4:00pm']","Brandy brings over 18 years of office administration experience to her position of Clinic Administrator at CBI Clearbrook. She spent most of her career working in the Health Services sector in the Public Service and enjoys promoting health and wellness in the workplace. Brandy lives in Mission, BC with her family and in her free time enjoys reading, running, hiking, dragon boating, and spending time with her family outdoors."
2,CBI Health Centre - Abbotsford,34194 Marshall Road ,Suite 100,V2S 5E4,Abbotsford,BC,604.852.5655,604.852.5828,https://www.cbi.ca/web/physiotherapy-abbotsford-marshall," Free Parking ,  Wheelchair Accessible ",Acupuncture/IMS;Cognitive Rehabilitation;Custom Orthotics/Bracing & Splinting;Hand Therapy;Health and Safety Consulting;Kinesiology;MVA Rehabilitation;Mental Health;Occupational Therapy;Pain Management Rehabilitation;Physiotherapy;Pre/Post-Surgical Rehabilitation;Psychology;Return to Work Planning;Vestibular Rehabilitation,"Better health begins here Our CBI Health Center Services focus on the individual: that means we design our treatment plans around your unique needs and goals, adhere to best practices and consistently deliver the highest standards of quality care for the best possible outcomes. Let us help you regain independence Let us help you regain strength, function and movement so you can enjoy an overall better quality of life.",Candace Starr,Kinesiologist - Pedorthist,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday']","['7:00am', '7:00am', '7:00am', '7:00am', '7:00am']","['6:00pm', '6:00pm', '6:00pm', '6:00pm', '4:00pm']","Candace is a registered Kinesiologist and a 2008 graduate of the University of the Fraser Valley. She is certified as a Canadian Pedorthic Clinician, allowing her to assess lower limb biomechanics and design custom knee braces and foot orthotics. Candace's cheerful and positive personality adds to the friendly and relaxed atmosphere of our clinic."
3,CBI Health Centre - Abbotsford,34194 Marshall Road ,Suite 100,V2S 5E4,Abbotsford,BC,604.852.5655,604.852.5828,https://www.cbi.ca/web/physiotherapy-abbotsford-marshall," Free Parking ,  Wheelchair Accessible ",Acupuncture/IMS;Cognitive Rehabilitation;Custom Orthotics/Bracing & Splinting;Hand Therapy;Health and Safety Consulting;Kinesiology;MVA Rehabilitation;Mental Health;Occupational Therapy;Pain Management Rehabilitation;Physiotherapy;Pre/Post-Surgical Rehabilitation;Psychology;Return to Work Planning;Vestibular Rehabilitation,"Better health begins here Our CBI Health Center Services focus on the individual: that means we design our treatment plans around your unique needs and goals, adhere to best practices and consistently deliver the highest standards of quality care for the best possible outcomes. Let us help you regain independence Let us help you regain strength, function and movement so you can enjoy an overall better quality of life.",Hilda Boer,Physiotherapist,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday']","['7:00am', '7:00am', '7:00am', '7:00am', '7:00am']","['6:00pm', '6:00pm', '6:00pm', '6:00pm', '4:00pm']","Hilda graduated as a Physiotherapist in 1991 in Brazil, where she worked in different settings, ranging from work related injuries, sports rehabilitation, and neurology before coming to Canada. After living and working for 8 years in the South Okanagan, Hilda settled in the Fraser Valley, and joined CBI Health Centre in 2015 working in a variety of programs. With over 20 years of experience working as a Physiotherapist, treating a wide range of injuries, countless hours of courses and studying, Hilda encourages her clients to take a pro-active approach towards their rehabilitation, to learn about their injuries, how to manage their pain symptoms, and with a personalized exercise program aimed to correct muscle imbalances associated with improved posture to increase function and enjoyment of life."
4,CBI Health Centre - Abbotsford,34194 Marshall Road ,Suite 100,V2S 5E4,Abbotsford,BC,604.852.5655,604.852.5828,https://www.cbi.ca/web/physiotherapy-abbotsford-marshall," Free Parking ,  Wheelchair Accessible ",Acupuncture/IMS;Cognitive Rehabilitation;Custom Orthotics/Bracing & Splinting;Hand Therapy;Health and Safety Consulting;Kinesiology;MVA Rehabilitation;Mental Health;Occupational Therapy;Pain Management Rehabilitation;Physiotherapy;Pre/Post-Surgical Rehabilitation;Psychology;Return to Work Planning;Vestibular Rehabilitation,"Better health begins here Our CBI Health Center Services focus on the individual: that means we design our treatment plans around your unique needs and goals, adhere to best practices and consistently deliver the highest standards of quality care for the best possible outcomes. Let us help you regain independence Let us help you regain strength, function and movement so you can enjoy an overall better quality of life.",Janita le Roux,Occupational Therapist,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday']","['7:00am', '7:00am', '7:00am', '7:00am', '7:00am']","['6:00pm', '6:00pm', '6:00pm', '6:00pm', '4:00pm']","Janita grew up in South Africa, and graduated in 1984 in South Africa as an Occupational Therapist. She worked in South Africa, Namibia, USA, and in Canada since 1998. Janita is an experienced therapist in rehabilitation; providing community based and rehabilitation services for clients with physical, mental health, and cognitive limitations. She performs Functional Capacity Evaluations and Cost of Future Care Evaluations for clients with physical, cognitive, and mental health limitations. She uses the Progressive Goal Attainment Program (PGAP) principles with treatment intervention. Janita is the senior Occupational Therapist in the CBI Abbotsford office, and provides clinical support to the Occupational Therapy team."
5,CBI Health Centre - Abbotsford,34194 Marshall Road ,Suite 100,V2S 5E4,Abbotsford,BC,604.852.5655,604.852.5828,https://www.cbi.ca/web/physiotherapy-abbotsford-marshall," Free Parking ,  Wheelchair Accessible ",Acupuncture/IMS;Cognitive Rehabilitation;Custom Orthotics/Bracing & Splinting;Hand Therapy;Health and Safety Consulting;Kinesiology;MVA Rehabilitation;Mental Health;Occupational Therapy;Pain Management Rehabilitation;Physiotherapy;Pre/Post-Surgical Rehabilitation;Psychology;Return to Work Planning;Vestibular Rehabilitation,"Better health begins here Our CBI Health Center Services focus on the individual: that means we design our treatment plans around your unique needs and goals, adhere to best practices and consistently deliver the highest standards of quality care for the best possible outcomes. Let us help you regain independence Let us help you regain strength, function and movement so you can enjoy an overall better quality of life.",Jeremy McAllister,Physiotherapist,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday']","['7:00am', '7:00am', '7:00am', '7:00am', '7:00am']","['6:00pm', '6:00pm', '6:00pm', '6:00pm', '4:00pm']","Jeremy has been practicing physiotherapy for over 20 years. He graduated from UBC's School of Rehabilitation Medicine with a degree in physiotherapy in 1996. He has worked in the Fraser Valley extensively since that time. Jeremy practices in orthopedic physical therapy, primarily using active rehabilitation and manual therapy as tools of choice. His primary interest area is lower extremity bio-mechanical assessment and treatment. Jeremy also completed a Master's of Health Administration at LJBC in 2014 and consults to physiotherapy associations on both the national and provincial level. He is currently working with these organizations and with the government to apply e-Health initiatives to improve the access and quality of care for physiotherapy patients in British Columbia and across Canada."
6,CBI Health Centre - Abbotsford,34194 Marshall Road ,Suite 100,V2S 5E4,Abbotsford,BC,604.852.5655,604.852.5828,https://www.cbi.ca/web/physiotherapy-abbotsford-marshall," Free Parking ,  Wheelchair Accessible ",Acupuncture/IMS;Cognitive Rehabilitation;Custom Orthotics/Bracing & Splinting;Hand Therapy;Health and Safety Consulting;Kinesiology;MVA Rehabilitation;Mental Health;Occupational Therapy;Pain Management Rehabilitation;Physiotherapy;Pre/Post-Surgical Rehabilitation;Psychology;Return to Work Planning;Vestibular Rehabilitation,"Better health begins here Our CBI Health Center Services focus on the individual: that means we design our treatment plans around your unique needs and goals, adhere to best practices and consistently deliver the highest standards of quality care for the best possible outcomes. Let us help you regain independence Let us help you regain strength, function and movement so you can enjoy an overall better quality of life.",Joanne Hillier,Occupational Therapist,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday']","['7:00am', '7:00am', '7:00am', '7:00am', '7:00am']","['6:00pm', '6:00pm', '6:00pm', '6:00pm', '4:00pm']","Joe has practiced Occupational Therapy following graduation from the College of Ripon and York St John, England in 2000. She has a wealth of experience in a number of settings including inpatient rehabilitation, acute care, residential care and community settings, working in both England and Canada. She gained experience with health populations including stroke, acute neurosurgery and neuro rehabilitation, orthopedics and geriatrics. She has extensive experience completing cognitive assessments, home safety assessments, equipment assessment and prescription and supervising rehabilitation assistant programs. She also worked as a Clinical Practice Leader in a local healthcare facility for a number of years. Jo began working as a member of the Inquiry Committee with College of Occupational Therapists of BC in June 2014 in order to contribute more to her chosen profession, and also to learn mole about the inquiry and discipline process. Jo joined CBI in May 2016 and provides return to work services, equipment prescription and recommendation, community integration and behavioural activation work and enjoys 1 client education sessions. Jo Is also certified to complete the progressive Goal Attainment program (PGAP) with clients."
7,CBI Health Centre - Abbotsford,34194 Marshall Road ,Suite 100,V2S 5E4,Abbotsford,BC,604.852.5655,604.852.5828,https://www.cbi.ca/web/physiotherapy-abbotsford-marshall," Free Parking ,  Wheelchair Accessible ",Acupuncture/IMS;Cognitive Rehabilitation;Custom Orthotics/Bracing & Splinting;Hand Therapy;Health and Safety Consulting;Kinesiology;MVA Rehabilitation;Mental Health;Occupational Therapy;Pain Management Rehabilitation;Physiotherapy;Pre/Post-Surgical Rehabilitation;Psychology;Return to Work Planning;Vestibular Rehabilitation,"Better health begins here Our CBI Health Center Services focus on the individual: that means we design our treatment plans around your unique needs and goals, adhere to best practices and consistently deliver the highest standards of quality care for the best possible outcomes. Let us help you regain independence Let us help you regain strength, function and movement so you can enjoy an overall better quality of life.",Jyoti Kalan,Physiotherapist,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday']","['7:00am', '7:00am', '7:00am', '7:00am', '7:00am']","['6:00pm', '6:00pm', '6:00pm', '6:00pm', '4:00pm']","Jyoti graduated from the University of British Columbia with a Master's degree in Physical Therapy. Previous to this she obtained a Bachelor's of Science in Biology from University of British Columbia. Since then she has been providing rehabilitation services in the private practice setting. Her clinical interests are in treating clients of all ages with orthopedic dysfunction through individual programs consisting of manual therapy techniques, soft tissue mobilizations and exercise rehabilitation. Jyoti has extensive experience in providing musculoskeletal treatment for Work Safe and ICBC lnjuries. Jyoti has taken courses in vestibular rehabilitation, the McKenzie method of mechanical diagnosis and therapy and the Mulligan concepts. She is currently pursuing her certification in medical acupuncture. Jyoti is fluent in English and Punjabi."
8,CBI Health Centre - Abbotsford,34194 Marshall Road ,Suite 100,V2S 5E4,Abbotsford,BC,604.852.5655,604.852.5828,https://www.cbi.ca/web/physiotherapy-abbotsford-marshall," Free Parking ,  Wheelchair Accessible ",Acupuncture/IMS;Cognitive Rehabilitation;Custom Orthotics/Bracing & Splinting;Hand Therapy;Health and Safety Consulting;Kinesiology;MVA Rehabilitation;Mental Health;Occupational Therapy;Pain Management Rehabilitation;Physiotherapy;Pre/Post-Surgical Rehabilitation;Psychology;Return to Work Planning;Vestibular Rehabilitation,"Better health begins here Our CBI Health Center Services focus on the individual: that means we design our treatment plans around your unique needs and goals, adhere to best practices and consistently deliver the highest standards of quality care for the best possible outcomes. Let us help you regain independence Let us help you regain strength, function and movement so you can enjoy an overall better quality of life.",Koby Byrne,Physiotherapist,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday']","['7:00am', '7:00am', '7:00am', '7:00am', '7:00am']","['6:00pm', '6:00pm', '6:00pm', '6:00pm', '4:00pm']","Koby is an enthusiastic physiotherapy graduate from Griffith University, Australia. Koby grew up in Abbotsford and graduated from the University of the Fraser Valley in 2014 with a Bachelor of Kinesiology degree and Psychology minor. Being a sports and adventure enthusiast, as well as a highly competitive soccer player, Koby has a special interest in sports injury prevention and management. He is currently pursuing certifications in manual therapy, IMS, concussion and vestibular management."
9,CBI Health Centre - Abbotsford,34194 Marshall Road ,Suite 100,V2S 5E4,Abbotsford,BC,604.852.5655,604.852.5828,https://www.cbi.ca/web/physiotherapy-abbotsford-marshall," Free Parking ,  Wheelchair Accessible ",Acupuncture/IMS;Cognitive Rehabilitation;Custom Orthotics/Bracing & Splinting;Hand Therapy;Health and Safety Consulting;Kinesiology;MVA Rehabilitation;Mental Health;Occupational Therapy;Pain Management Rehabilitation;Physiotherapy;Pre/Post-Surgical Rehabilitation;Psychology;Return to Work Planning;Vestibular Rehabilitation,"Better health begins here Our CBI Health Center Services focus on the individual: that means we design our treatment plans around your unique needs and goals, adhere to best practices and consistently deliver the highest standards of quality care for the best possible outcomes. Let us help you regain independence Let us help you regain strength, function and movement so you can enjoy an overall better quality of life.",Max Liu,Kinesiologist,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday']","['7:00am', '7:00am', '7:00am', '7:00am', '7:00am']","['6:00pm', '6:00pm', '6:00pm', '6:00pm', '4:00pm']",Max is a practicing Kinesiologist and a member of the British Columbia Association of Kinesiologist (BCAK) since graduation in 2013. He graduated from Simon Fraser University with a Bachelor's of Science in Biomedical Physiology and Kinesiology. He has experience in active rehabilitation programs and 1 on 1 Kinesiology sessions for ICBC and Long Term Disability (LTD) clients.
